X[m]	Nd[m^-3]	ux[m/s]	uy[m/s]	uz[m/s]	u2x[(m/s)^2]	u2y[(m/s)^2]	u2z[(m/s)^2]	Ttrx[K]	Ttry[K]	Ttrz[K]	Ttr[K]
6.49823e-05	3.75694e+24	-16.0617	5.0243	9.00055	65552.2	65103.1	71568.9	279.068	278.778	298.684	285.51
6.5127e-05	3.47288e+24	19.8398	13.1105	6.29486	69770.7	61735	67724.5	287.368	261.157	291.686	280.07
6.52718e-05	3.61949e+24	10.289	-10.1775	-20.0692	58716	65518.5	67240.5	255.572	288.625	293.914	279.37
6.54165e-05	3.30794e+24	19.5146	6.13411	-10.6436	62915	65621.1	59768.7	277.872	267.879	260.761	268.837
6.55612e-05	3.25296e+24	0.00994309	10.5729	-6.35605	59980.2	67539.2	69745.2	251.904	288.933	304.901	281.912
6.5706e-05	3.63782e+24	7.22493	3.33751	17.3522	68740.8	74852.2	64153.2	298.559	334.732	263.508	298.933
6.58507e-05	3.45456e+24	-3.70333	15.3477	9.41568	65026.7	60184.4	56600.9	272.311	252.349	242.955	255.872
6.59954e-05	3.25296e+24	16.1552	25.4955	5.74107	57481.3	59970.3	72353.2	256.701	258.292	299.412	271.468
6.61401e-05	3.44539e+24	1.90828	-0.725603	5.18116	64926	60920.5	69265.9	278.116	251.342	292.121	273.86
6.62849e-05	3.29878e+24	8.40531	18.5283	3.63603	65517.4	60202.4	61447.6	267.375	257.19	262.5	262.355
6.64296e-05	3.19798e+24	3.04842	-4.22379	0.462373	67357.5	73706.5	65706.4	285.885	324.829	253.243	287.986
6.65743e-05	3.5187e+24	-23.1304	-3.25249	-12.1847	59126.4	66208	68633.8	255.322	271.488	282.452	269.754
6.6719e-05	3.48205e+24	-6.04064	-8.18974	3.52556	63042.8	63275.8	56683.2	277.796	260.428	246.462	261.562
6.68638e-05	3.53703e+24	-2.93426	2.49949	-1.53023	63779.7	73166.6	61831.2	271.363	305.643	261.644	279.55
6.70085e-05	3.33543e+24	-20.6472	6.72889	-5.42391	73481.3	72799.9	60716.9	300.913	307.227	231.198	279.779
6.71532e-05	3.54619e+24	-4.60362	1.81377	17.3663	61619.5	64185.9	62373.5	245.53	265.493	250.209	253.744
6.72979e-05	3.64698e+24	23.0019	-8.79193	20.1689	59073.5	69878.2	64452.4	249.099	295.579	270.316	271.665
6.74427e-05	3.48205e+24	26.3749	-4.03076	23.8551	68997.6	64937.4	65791.8	268.742	267.509	277.625	271.292
6.75874e-05	3.77527e+24	10.6223	10.5735	-10.3348	66390.5	65249.1	67779.9	285.569	282.843	304.759	291.057
6.77321e-05	3.46372e+24	-7.40419	6.43591	21.669	61589.4	60443.9	67744.3	262.76	258.043	283.56	268.121
6.78769e-05	3.33543e+24	24.6283	-8.48515	6.48283	59684.8	62650	65362.7	248.402	268.681	275.594	264.226
6.80216e-05	3.12468e+24	-11.2396	-21.7552	-11.5761	59067.8	64983.1	68719.1	252.139	269.992	293.503	271.878
6.81663e-05	3.32627e+24	-37.7694	-21.3599	-3.35947	67913	61042.5	64643.9	265.16	261.248	277.438	267.949
6.8311e-05	3.50954e+24	2.72632	-22.8118	-16.5696	65477.6	59351.1	64843.7	267.145	231.996	274.365	257.835
6.84558e-05	3.42707e+24	12.7144	-12.6387	4.11126	66299.9	67283	70886	281.053	291.156	297.956	290.055
6.86005e-05	3.62866e+24	42.4028	22.9022	7.04256	71197	64962.8	54377.9	281.545	275.008	220.644	259.066
6.87452e-05	3.592e+24	4.96585	-6.02384	8.04455	54457.3	62203	75567.8	236.74	267.673	333.738	279.383
6.88899e-05	3.62866e+24	-7.69367	11.5831	-11.9632	55595.8	64969.1	58019.5	231.427	285.241	252.073	256.247
